data: {"type":"response.created","response":{"object":"response","id":"gen-1769599723-4HH9jRFLTJEUOyhp0yco","created_at":1769599723,"completed_at":null,"status":"in_progress","error":null,"output_text":"","output":[],"model":"openai/gpt-5.2","incomplete_details":null,"usage":null,"tools":[{"type":"web_search"}],"tool_choice":"auto","parallel_tool_calls":true,"max_output_tokens":2000,"temperature":0.7,"top_p":1,"presence_penalty":0,"frequency_penalty":0,"top_logprobs":0,"max_tool_calls":null,"metadata":{},"background":false,"previous_response_id":null,"service_tier":"auto","truncation":"disabled","store":false,"instructions":null,"text":{"format":{"type":"text"}},"reasoning":null,"safety_identifier":null,"prompt_cache_key":null,"user":null},"sequence_number":0}

data: {"type":"response.in_progress","response":{"object":"response","id":"gen-1769599723-4HH9jRFLTJEUOyhp0yco","created_at":1769599723,"completed_at":null,"status":"in_progress","error":null,"output_text":"","output":[],"model":"openai/gpt-5.2","incomplete_details":null,"usage":null,"tools":[{"type":"web_search"}],"tool_choice":"auto","parallel_tool_calls":true,"max_output_tokens":2000,"temperature":0.7,"top_p":1,"presence_penalty":0,"frequency_penalty":0,"top_logprobs":0,"max_tool_calls":null,"metadata":{},"background":false,"previous_response_id":null,"service_tier":"auto","truncation":"disabled","store":false,"instructions":null,"text":{"format":{"type":"text"}},"reasoning":null,"safety_identifier":null,"prompt_cache_key":null,"user":null},"sequence_number":1}

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

: OPENROUTER PROCESSING

data: {"type":"response.output_item.added","output_index":0,"item":{"type":"reasoning","id":"rs_tmp_egkx3uulyne","summary":[]},"sequence_number":2}

data: {"type":"response.reasoning_summary_part.added","output_index":0,"item_id":"rs_tmp_egkx3uulyne","summary_index":0,"part":{"type":"summary_text","text":""},"sequence_number":3}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":"**Searching","sequence_number":4}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" for","sequence_number":5}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" AI","sequence_number":6}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" breakthroughs","sequence_number":7}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":"**\n\nI","sequence_number":8}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" need","sequence_number":9}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" to","sequence_number":10}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" gather","sequence_number":11}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" a","sequence_number":12}

data: {"type":"response.reasoning_summary_text.delta","item_id":"rs_tmp_egkx3uulyne","output_index":0,"summary_index":0,"delta":" summary","sequence_number":13}

